WHO report date,"Total Cases, Guinea","Total Deaths, Guinea","Total Cases, Liberia","Total Deaths, Liberia","Total Cases, Sierra Leone","Total Deaths, Sierra Leone"
3/1/14,0,0,0,0,0,0
3/2/14,0,0,0,0,0,0
3/3/14,0,0,0,0,0,0
3/4/14,0,0,0,0,0,0
3/5/14,0,0,0,0,0,0
3/6/14,0,0,0,0,0,0
3/7/14,0,0,0,0,0,0
3/8/14,0,0,0,0,0,0
3/9/14,0,0,0,0,0,0
3/10/14,0,0,0,0,0,0
3/11/14,0,0,0,0,0,0
3/12/14,0,0,0,0,0,0
3/13/14,0,0,0,0,0,0
3/14/14,0,0,0,0,0,0
3/15/14,0,0,0,0,0,0
3/16/14,0,0,0,0,0,0
3/17/14,0,0,0,0,0,0
3/18/14,0,0,0,0,0,0
3/19/14,0,0,0,0,0,0
3/20/14,0,0,0,0,0,0
3/21/14,0,0,0,0,0,0
3/22/14,0,0,0,0,0,0
3/23/14,0,0,0,0,0,0
3/24/14,0,0,0,0,0,0
3/25/14,86,59,0,0,0,0
3/26/14,86,60,0,0,0,0
3/27/14,103,66,8,6,6,5
3/31/14,112,70,8,6,0,0
4/1/14,122,80,8,2,0,0
4/2/14,127,83,8,5,0,0
4/7/14,151,95,18,7,0,0
4/10/14,157,101,22,14,0,0
4/17/14,197,122,27,13,0,0
4/21/14,203,129,27,13,0,0
4/23/14,208,136,34,11,0,0
4/30/14,221,146,13,11,0,0
5/5/14,231,155,13,11,0,0
5/14/14,233,157,12,11,0,0
5/23/14,258,174,12,9,0,0
5/27/14,258,174,12,9,1,4
5/28/14,281,186,12,9,16,5
6/2/14,291,193,13,9,50,6
6/5/14,344,215,13,9,81,7
6/10/14,372,236,15,10,89,7
6/11/14,376,241,15,10,117,19
6/18/14,398,264,33,24,97,49
6/24/14,390,270,51,34,158,34
7/2/14,413,303,107,65,239,99
7/7/14,412,305,115,75,252,101
7/8/14,408,307,131,84,305,127
7/14/14,409,309,142,88,337,142
7/16/14,406,304,172,105,386,192
7/21/14,410,310,196,116,442,206
7/24/14,415,314,224,127,454,219
7/28/14,427,319,249,129,525,224
7/31/14,460,339,329,156,533,233
8/3/14,472,346,391,227,574,252
8/4/14,485,358,486,255,646,273
8/8/14,495,367,554,294,717,298
8/12/14,506,373,599,323,730,315
8/13/14,510,377,670,355,783,334
8/15/14,519,380,786,348,810,348
8/19/14,543,394,834,466,848,365
8/21/14,579,396,972,576,907,374
8/22/14,607,406,1082,624,910,392
8/28/14,648,430,1378,694,1026,422
9/6/14,812,517,1871,1089,1261,491
9/8/14,862,555,2046,1224,1361,509
9/12/14,861,557,2081,1137,1424,524
9/16/14,936,595,2407,1296,1620,562
9/18/14,942,601,2710,1459,1673,562
9/22/14,1008,632,3022,1578,1813,593
9/24/14,1022,635,3280,1677,1940,597
9/26/14,1074,648,3458,1830,2021,605
10/1/14,1157,710,3696,1998,2304,622
10/3/14,1199,739,3834,2069,2437,623
10/8/14,1298,768,3924,2210,2789,879
10/10/14,1350,778,4076,2316,2950,930
10/15/14,1472,843,4249,2458,3252,1183
10/17/14,1519,862,4262,2484,3410,1200
10/22/14,1540,904,4665,2705,3706,1359
10/25/14,1553,926,4665,2705,3896,1281
10/29/14,1906,997,6535,2413,5235,1500
10/31/14,1667,1018,6535,2413,5338,1510
11/5/14,1731,1041,6525,2697,4759,1070
11/7/14,1760,1054,6619,2766,4862,1130
11/12/14,1878,1142,6822,2836,5368,1169
11/14/14,1919,1166,6878,2812,5586,1187
11/19/14,1971,1192,7069,2964,6073,1250
11/21/14,2047,1214,7082,2963,6190,1267
11/26/14,2134,1260,7168,3016,6599,1398
11/28/14,2155,1312,7635,3145,7109,1530
12/3/14,2164,1327,7635,3145,7312,1583
12/10/14,2292,1428,7719,3177,7897,1768
12/17/14,2416,1525,7797,3290,8356,2085
12/24/14,2597,1607,7862,3384,9004,2582
12/31/14,2707,1708,8018,3423,9446,2758
1/7/15,2775,1781,8157,3496,9780,2943
1/14/15,2806,1814,8331,3538,10124,3062
1/21/15,2871,1876,8478,3605,10340,3145
1/28/15,2917,1910,8622,3686,10518,3199
2/4/15,2975,1944,8745,3746,10740,3276
