"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","EPI_WEEK (CODE)","EPI_WEEK (DISPLAY)","EPI_WEEK (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","Display Value","Numeric","Low","High","Comments"
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-12","Data package 2014-11-12","","466","466.00000","","","Situation report only contains data up to November 8, 2014"
"LBR","Liberia","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","Not reported","","","","Not reported"
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-12","Data package 2014-11-12","","12","12.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","2836","2836.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-12","Data package 2014-11-12","","Not reported","","","","Not reported"
"LBR","Liberia","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","Not reported","","","","Not reported"
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","1878","1878.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","PROBABLE","Probable","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","Not reported","","","","Not reported"
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-12","Data package 2014-11-12","","313","313.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","58","58.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-12","Data package 2014-11-12","","335","335.00000","","","Situation report only contains data up to November 8, 2014"
"SLE","Sierra Leone","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","35","35.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","79","79.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","960","960.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","1612","1612.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","PROBABLE","Probable","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","208","208.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","5368","5368.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-12","Data package 2014-11-12","","Not reported","","","","Not reported"
"GIN","Guinea","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-12","Data package 2014-11-12","","325","325.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","1687","1687.00000","","","Situation report only contains data up to November 8, 2014"
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-12","Data package 2014-11-12","","Not reported","","","","Not reported"
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-12","Data package 2014-11-12","","1197","1197.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","2582","2582.00000","","","Situation report only contains data up to November 8, 2014"
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-12","Data package 2014-11-12","","1211","1211.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","1142","1142.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","2553","2553.00000","","","Situation report only contains data up to November 8, 2014"
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-12","Data package 2014-11-12","","14","14.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","0","0.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","PROBABLE","Probable","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","174","174.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE_21_DAYS","In past 21 days","","2014-11-12","Data package 2014-11-12","","131","131.00000","","","Situation report only contains data up to November 8, 2014"
"GIN","Guinea","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","934","934.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","766","766.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONF_PROB_SUSP","Total","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","6822","6822.00000","","","Situation report only contains data up to November 8, 2014"
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONF_PROB_SUSP","Total","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","1169","1169.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","4523","4523.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","2014-W45-7","09 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-12","Data package 2014-11-12","","208","208.00000","","",""
"Display Value","Numeric","Low","High","Comments"
"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","EPI_WEEK (CODE)","EPI_WEEK (DISPLAY)","EPI_WEEK (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","Display Value","Numeric","Low","High","Comments"
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","2014-W46-2","11 November 2014","","SITREP_CUMULATIVE","Cumulative","","2014-11-14","Data package 2014-11-14","","1647","1647.00000","",""," Data are based on official information reported by the Ministry of Health up to the end of 11 November 2014"
