"country","status","description","range","number","day","source"
"Liberia","CASES","Total","In past 21 days","466","253","WHO"
"Guinea","CASES","Probable","In past 21 days","12","253","WHO"
"Liberia","DEATHS","Total","Cumulative","2836","253","WHO"
"Guinea","CASES","Total","Cumulative","1878","253","WHO"
"Guinea","CASES","Confirmed","In past 21 days","313","253","WHO"
"Guinea","CASES","Suspected","Cumulative","58","253","WHO"
"Liberia","CASES","Confirmed","In past 21 days","335","253","WHO"
"Sierra Leone","DEATHS","Suspected","Cumulative","35","253","WHO"
"Sierra Leone","CASES","Probable","Cumulative","79","253","WHO"
"Sierra Leone","DEATHS","Confirmed","Cumulative","960","253","WHO"
"Guinea","CASES","Confirmed","Cumulative","1612","253","WHO"
"Guinea","DEATHS","Probable","Cumulative","208","253","WHO"
"Sierra Leone","CASES","Total","Cumulative","5368","253","WHO"
"Guinea","CASES","Total","In past 21 days","325","253","WHO"
"Liberia","CASES","Probable","Cumulative","1687","253","WHO"
"Sierra Leone","CASES","Confirmed","In past 21 days","1197","253","WHO"
"Liberia","CASES","Suspected","Cumulative","2582","253","WHO"
"Sierra Leone","CASES","Total","In past 21 days","1211","253","WHO"
"Guinea","DEATHS","Total","Cumulative","1142","253","WHO"
"Liberia","CASES","Confirmed","Cumulative","2553","253","WHO"
"Sierra Leone","CASES","Probable","In past 21 days","14","253","WHO"
"Guinea","DEATHS","Suspected","Cumulative","0","253","WHO"
"Sierra Leone","DEATHS","Probable","Cumulative","174","253","WHO"
"Liberia","CASES","Probable","In past 21 days","131","253","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","934","253","WHO"
"Sierra Leone","CASES","Suspected","Cumulative","766","253","WHO"
"Liberia","CASES","Total","Cumulative","6822","253","WHO"
"Sierra Leone","DEATHS","Total","Cumulative","1169","253","WHO"
"Sierra Leone","CASES","Confirmed","Cumulative","4523","253","WHO"
"Guinea","CASES","Probable","Cumulative","208","253","WHO"
"Guinea","CASES","Confirmed","Cumulative","1647","255","WHO"
"Guinea","CASES","Probable","Cumulative","208","255","WHO"
"Guinea","CASES","Suspected","Cumulative","64","255","WHO"
"Guinea","CASES","Total","Cumulative","1919","255","WHO"
"Guinea","DEATHS","Confirmed","Cumulative","958","255","WHO"
